race,date,meanIncome,county,percentage
white,2011,25080,Broome,88.8
white,2011,20955,Cattaraugus,92.8
white,2011,25369,Cayuga,92.5
white,2011,21365,Chautauqua,92.9
white,2011,28287,Chemung,89.6
white,2011,25630,Clinton,92.1
white,2011,34330,Dutchess,78.3
white,2011,29749,Erie,79.7
white,2011,22731,Jefferson,87.0
white,2011,30034,Kings,43.7
white,2011,23384,Livingston,93.0
white,2011,25004,Madison,94.2
white,2011,31040,Monroe,76.2
white,2011,45676,Nassau,71.5
white,2011,83602,New York,56.1
white,2011,26290,Niagara,88.4
white,2011,26746,Oneida,86.6
white,2011,30047,Onondaga,81.5
white,2011,29867,Ontario,92.9
white,2011,31710,Orange,74.9
white,2011,21625,Oswego,95.9
white,2011,40210,Putnam,89.5
white,2011,29960,Queens,41.7
white,2011,30416,Rensselaer,88.0
white,2011,32697,Richmond,76.8
white,2011,35187,Rockland,70.2
white,2011,21611,St. Lawrence,93.5
white,2011,33908,Saratoga,94.1
white,2011,30281,Schenectady,80.5
white,2011,23565,Steuben,94.8
white,2011,38102,Suffolk,81.0
white,2011,24378,Sullivan,79.5
white,2011,28951,Tompkins,82.1
white,2011,29638,Ulster,87.6
white,2011,28510,Warren,96.5
white,2011,26772,Wayne,93.7
white,2011,55336,Westchester,66.6
black,2011,16594,Albany,12.6
black,2011,17373,Bronx,34.1
black,2011,12073,Broome,4.6
black,2011,18802,Cattaraugus,0.8
black,2011,7989,Cayuga,4.5
black,2011,13071,Chautauqua,2.3
black,2011,7614,Chemung,6.7
black,2011,2548,Clinton,4.5
black,2011,22212,Dutchess,9.7
black,2011,14043,Erie,12.9
black,2011,18007,Jefferson,5.2
black,2011,19262,Kings,34.0
black,2011,9915,Livingston,2.8
black,2011,0,Madison,1.2
black,2011,13692,Monroe,15.2
black,2011,26589,Nassau,11.2
black,2011,25235,New York,14.9
black,2011,13590,Niagara,7.6
black,2011,13454,Oneida,5.5
black,2011,13417,Onondaga,10.8
black,2011,4332,Ontario,2.2
black,2011,23918,Orange,9.7
black,2011,0,Oswego,1.1
black,2011,50839,Putnam,1.7
black,2011,23254,Queens,19.0
black,2011,15613,Rensselaer,5.8
black,2011,20809,Richmond,11.1
