race,date,meanIncome,county,MOE
Asian,2012,16088,Niagara,7053
Asian,2012,10963,Oneida,4107
Asian,2012,21017,Onondaga,4332
Asian,2012,40093,Ontario,25305
Asian,2012,35201,Orange,12225
Asian,2012,20488,Oswego,13569
Asian,2012,31894,Putnam,14412
Asian,2012,22512,Queens,651
Asian,2012,11878,Rensselaer,5534
Asian,2012,26973,Richmond,2413
Asian,2012,42563,Rockland,8606
Asian,2012,17240,St. Lawrence,7918
Asian,2012,35159,Saratoga,12121
Asian,2012,25652,Schenectady,6312
Asian,2012,34526,Steuben,12373
Asian,2012,31383,Suffolk,4042
Asian,2012,32003,Sullivan,12055
Asian,2012,19485,Tompkins,6898
Asian,2012,23299,Ulster,11520
Asian,2012,0,Warren,0
Asian,2012,12433,Wayne,10534
Asian,2012,50131,Westchester,4905
